Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Comal County, Texas",48903,2017,1437,2986,3659,5974,8230,7418,8321,3838,5023,75356,98131,36899,36948,55209,43405
"Houston County, Texas",8209,833,862,1293,1166,1248,1461,584,599,79,84,34297,47354,18080,22610,31213,24452
"Potter County, Texas",43944,3639,2891,5784,5955,6441,8617,4180,3986,1087,1364,43157,60730,22267,27606,39537,30930
"Scurry County, Texas",5884,185,433,551,786,701,1072,809,903,310,134,55889,69935,24508,35319,54349,32472
"Stonewall County, Texas",582,36,50,89,63,61,79,84,47,50,23,48000,66282,28746,26401,64213,29432
"Brown County, Texas",14016,1033,705,1708,2015,2068,2654,1500,1532,368,433,45457,64580,25145,28531,41504,31092
"Bee County, Texas",8537,1002,575,1104,924,1411,1469,668,827,286,271,42032,60273,17390,23636,46326,28808
"Crane County, Texas",1422,77,29,154,51,120,328,240,303,53,67,70398,79681,26113,34238,57929,28816
"McCulloch County, Texas",3255,275,203,386,347,534,732,362,286,35,95,45329,58607,24409,26869,45357,26534
"Lee County, Texas",6104,376,445,598,491,866,1354,803,686,296,189,55000,67793,25876,31188,47531,33876
"Ellis County, Texas",55840,1972,1861,3719,4313,6129,10812,8484,10267,4812,3471,72213,90350,30727,36752,53656,43455
"Kerr County, Texas",20766,992,814,2202,2562,3448,3852,2838,2414,967,677,52473,73327,30498,27148,41314,37059
"Falls County, Texas",5237,806,392,566,676,818,852,505,458,118,46,38032,49617,17830,25760,31817,35503
"Schoharie County, New York",12559,619,768,1265,1304,1851,2340,1722,1753,565,372,53989,68583,28712,31008,50991,40124
"Onondaga County, New York",185624,12558,9080,17147,16962,23246,33045,23948,28866,11293,9479,59225,79427,32678,35990,54729,45810
"Clinton County, New York",31395,2100,1576,3069,3135,4215,6306,4239,4395,1603,757,55178,68108,26772,30710,46439,42674
"Seneca County, New York",13522,688,622,1529,1525,1786,2820,1961,1726,484,381,54695,69516,27366,30114,50004,37389
"Putnam County, New York",34847,654,741,1844,1835,2587,4916,4412,7615,4529,5714,102186,127975,45905,45843,72344,58323
"Franklin County, New York",19088,1478,1505,1943,1746,2657,3683,2581,2287,711,497,51696,65355,25491,31611,48032,40869
"Ontario County, New York",44286,1802,1633,4030,4051,6177,7912,6321,7469,2354,2537,63359,84783,35121,34960,53693,42401
"Queens County, New York",779234,45630,33236,67706,67074,90643,134092,101438,127283,61120,51012,64987,85330,30289,36381,48816,46633
"Steuben County, New York",40183,2398,2366,4407,4563,5780,7885,5076,5068,1471,1169,51789,68301,28600,31079,48709,40110
"Hamilton County, New York",1124,62,44,122,112,153,269,150,137,42,33,57552,66547,25918,30789,37391,41294
"Washington County, New York",24009,1161,1404,2482,2329,3691,4745,3372,3143,1087,595,54114,67967,27156,31095,48394,38977
"Chautauqua County, New York",52572,3879,3953,7047,5861,7910,9375,6463,5853,1326,905,45332,59330,24825,27417,45644,35777
"Kings County, New York",950856,88547,65443,95330,81986,105546,138339,104354,129218,62876,79217,56015,85910,31984,37123,52893,49314
"New York County, New York",758133,62522,42637,57335,46134,57126,89879,71877,106351,62992,161280,82459,152002,72832,59620,89939,73418
"Tioga County, New York",20045,821,1201,1921,2084,2229,3785,2790,3357,1085,772,60736,76161,31330,33942,52479,42377
"Cayuga County, New York",31251,1597,1532,2923,3295,4638,6118,4176,4811,1304,857,56579,71215,29022,33045,52101,40724
"Orleans County, New York",16333,812,849,1787,1837,2605,3536,1913,2133,536,325,51843,64365,25261,31049,48363,38243
"Saratoga County, New York",93876,2888,2457,6036,6069,10005,16029,13909,19710,8826,7947,80839,100650,41709,43269,68003,51573
"Rockland County, New York",100005,3638,3244,7271,6399,8939,13196,11381,18193,11460,16284,91108,119472,38076,40742,68626,57413
"Columbia County, New York",25243,1316,959,2438,2344,3082,4580,3747,3732,1589,1456,63032,84495,35581,34979,52195,43119
"Lewis County, New York",10242,442,674,822,1270,1676,1996,1424,1309,375,254,52380,66189,26169,32045,45157,39680
"Niagara County, New York",88211,5594,5031,9536,8673,12452,15648,11414,12723,4569,2571,54085,69983,29824,33693,52595,40711
"Westchester County, New York",347332,16308,11298,23046,22133,29162,45739,34986,57254,34655,72751,92758,148770,54572,46500,77599,61498
"Delaware County, New York",19030,1193,1315,2504,2043,2688,3856,2239,2248,514,430,48827,61473,26629,26270,47715,35985
"Essex County, New York",15425,669,835,1528,1587,2084,3200,2179,2225,673,445,56196,72078,30273,29965,47135,36247
"Montgomery County, New York",19665,1470,1278,2649,2320,2756,3788,2123,2105,789,387,45837,62158,25427,30591,46660,37204
"Nassau County, New York",445517,12755,9462,21675,22061,31411,52069,51197,87513,61971,95403,111240,146552,49211,49803,77517,60976
"Richmond County, New York",166152,13395,6336,11416,10704,14540,22758,20844,31501,18179,16479,79267,98841,34987,46586,67778,53862
"Schuyler County, New York",7304,361,394,983,645,1156,1293,1168,984,221,99,51479,63289,26484,29225,49426,36906
"Tompkins County, New York",39326,3934,1926,3144,3853,4216,7038,4836,5307,2306,2766,58743,80256,31464,27387,54171,47970
"Chenango County, New York",20616,1161,1353,2546,2234,2885,4247,2693,2350,697,450,50595,63006,26717,30363,44694,35615
"Cortland County, New York",17685,812,1148,1702,1703,2746,3347,2556,2285,847,539,54489,71421,26979,28153,47978,38684
"Jefferson County, New York",43267,2752,2149,4086,4793,6861,8836,6096,5396,1307,991,52268,65268,25884,29342,41150,34459
"Oneida County, New York",90014,5779,5431,9667,9565,11517,17365,11767,11766,4114,3043,53844,70759,28548,31786,48900,40004
"Suffolk County, New York",487981,16865,12132,26774,27481,39863,66832,61792,99675,62648,73919,96675,123111,42204,43307,68738,53560
"Wyoming County, New York",15815,726,747,1609,1457,2186,3451,2574,2258,530,277,57914,68774,27150,33838,49035,38338
"Chemung County, New York",34373,2582,1823,3526,3743,4497,6640,4412,4828,1229,1093,53299,68938,28115,31748,49631,39540
"Oswego County, New York",46032,3159,2357,4364,4716,6954,8699,6052,6649,1752,1330,53597,68539,27217,29247,50835,38576
"Otsego County, New York",23556,1621,1223,2427,2468,3329,4763,2828,3183,1031,683,53121,68791,27680,25513,44133,38640
"Wayne County, New York",36504,1638,1825,3140,4105,5302,7732,5085,5085,1589,1003,55765,70895,29028,31839,49336,37298
"Albany County, New York",126008,6903,5675,11192,10605,15284,21239,16316,20612,9349,8833,64535,86827,36454,36620,56216,49598
"Broome County, New York",78594,5984,5000,8826,8272,10687,14288,9773,10217,3222,2325,50859,67135,27744,28269,47877,40077
"Erie County, New York",387847,27586,22626,39273,37590,48286,67581,48461,57408,22083,16953,55673,75293,32347,35002,53789,43188
"Madison County, New York",26026,1382,1029,2342,2508,3323,5522,3514,4123,1285,998,60228,74989,28925,32324,51028,40689
"Sullivan County, New York",27890,1695,1487,2982,2975,3728,4786,3815,3655,1620,1147,56256,74996,29292,31855,50158,40738
"Genesee County, New York",23681,1241,1354,2040,2259,3076,4602,3783,3540,1125,661,59338,71189,29465,31972,49783,37947
"Orange County, New York",126776,5905,5003,9478,9309,13065,19300,16281,24772,12577,11086,76716,96483,33472,38442,60290,50266
"Bronx County, New York",499728,67371,49272,65984,52700,64403,77306,47045,45809,16847,12991,38085,56328,20850,27074,39649,38504
"Fulton County, New York",22439,1242,1389,2541,2723,3263,4552,2852,2574,809,494,50248,63186,26875,31238,45184,36783
"Rensselaer County, New York",64563,3267,2725,5127,5956,7780,11640,9127,11182,4465,3294,65851,82570,34280,38619,54936,48651
"Herkimer County, New York",24583,1351,1336,2820,2868,3556,4888,3411,3012,863,478,51862,63842,26151,30666,45350,36838
"St. Lawrence County, New York",41669,2613,2995,5256,4566,5641,7683,5480,5030,1370,1035,49305,63127,24473,26975,50806,39305
"Warren County, New York",27553,1241,1298,2584,2641,3707,5239,3809,4527,1369,1138,59813,77328,33605,32189,51303,42475
"Dutchess County, New York",107347,4288,4595,7062,8073,10738,16901,14471,20484,10440,10295,78028,100352,38048,37616,62784,51521
"Monroe County, New York",300796,19837,15813,29241,29319,38894,52560,36956,45040,17786,15350,57479,77604,32502,33207,54007,44044
"Ulster County, New York",69539,3459,3748,6384,6343,8142,12492,8659,11088,4826,4398,63348,84423,33879,32829,54182,44973
"Livingston County, New York",24383,1300,1300,2552,2140,3582,4760,3392,3710,1089,558,56071,69001,27073,30739,50564,42686
"Greene County, New York",17117,1032,1193,1721,1896,2171,3128,2415,2244,793,524,53617,68228,27271,32135,46820,39630
"Allegany County, New York",18009,1202,1109,2328,1872,3171,3500,2264,1921,379,263,47033,58195,23030,23628,45552,34006
"Cattaraugus County, New York",31433,1941,2233,4043,3674,4586,5967,3952,3605,840,592,47240,59656,24628,29892,44818,36540
"Schenectady County, New York",53295,2687,2811,4842,4677,6347,9241,7403,9089,3613,2585,63785,80867,31412,32580,53370,44689
"Yates County, New York",9029,495,421,1056,981,1307,1547,1214,1236,472,300,54343,72404,27512,27575,44844,35713
"Lake County, California",25966,2374,2051,3203,3247,3607,4030,3178,2609,959,708,42475,60847,25404,25670,43516,36940
"Mariposa County, California",7700,494,484,934,711,1133,1465,1060,873,384,162,51199,64590,29776,28860,44969,41533
"Yuba County, California",26179,1289,1879,2835,2497,3956,4744,3264,3591,1450,674,52624,67391,23867,29775,44748,38905
"Contra Costa County, California",392277,13870,11757,21416,22514,34834,54684,48475,74344,43088,67295,93712,128079,45524,44551,75187,59757
"Lassen County, California",9493,497,609,941,909,1150,1979,1171,1388,599,250,56362,71097,21897,36625,58358,45974
"Santa Barbara County, California",144962,6864,5491,10816,11530,16958,23777,18558,23900,11941,15127,71657,101100,34229,28250,48314,41964
"Sonoma County, California",189339,7132,6950,13121,13538,19516,32265,27194,33102,17769,18752,76753,102483,39929,35481,56448,49937
"Imperial County, California",44057,3622,4272,5700,4444,5498,7086,5127,5278,1709,1321,45834,63186,17590,24819,45736,34311
"Mono County, California",4847,140,102,267,339,745,1243,801,765,218,227,63018,80008,33421,31297,41886,44138
"Alameda County, California",572870,24255,21621,33723,33965,47322,76730,66253,104464,67134,97403,92574,122575,44283,47416,72088,60135
"Sacramento County, California",536029,29236,27434,45253,46057,63279,93941,69723,85746,40791,34569,63902,85289,31311,35289,53402,48002
"Napa County, California",49032,1582,1465,3053,3219,5131,7700,6142,9278,4977,6485,84753,116922,42677,37255,55883,53002
"Monterey County, California",126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,28836,27427,43932,40525
"Sierra County, California",1241,45,127,145,118,196,139,135,263,48,25,48125,67464,31972,29602,76042,32394
"San Diego County, California",1118980,51029,39441,78317,84271,122572,184805,144979,197632,98349,117585,74855,101302,36156,36157,54315,47567
"Yolo County, California",73510,5640,3773,6430,5442,7435,12203,8701,11053,5690,7143,65923,92571,32598,30804,60255,49132
"Humboldt County, California",54267,3804,4175,6889,6159,8242,9925,5712,5664,1888,1809,45528,63753,26747,24365,42593,36973
"Alpine County, California",299,11,20,22,32,37,51,27,51,26,22,64688,92738,29041,16161,51250,31364
"Mendocino County, California",34090,2289,2555,3968,3889,4577,6425,3957,3994,1280,1156,49233,67340,27395,25713,41021,36437
"Santa Cruz County, California",95756,4893,4046,7091,6734,9176,14353,11540,15655,8902,13366,78041,109141,39001,30613,60827,50855
"Los Angeles County, California",3306109,192319,168753,296864,282438,386040,534611,396793,500603,239855,307833,64251,94484,32469,31862,46707,42455
"Riverside County, California",718349,39712,30031,64175,65380,87029,124931,94201,116546,51748,44596,63948,84391,27142,30831,50306,40480
"Santa Clara County, California",635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,52451,52592,90862,64739
"Marin County, California",105258,3448,2877,5474,5554,7858,12246,10687,17758,11730,27626,110217,168429,69275,52370,99141,75500
"Siskiyou County, California",19257,1554,1307,2680,2194,2869,3504,2157,1939,619,434,44200,63208,28130,26376,47402,37909
"Shasta County, California",70473,4231,4935,7857,7541,10154,13004,8110,8201,3722,2718,50905,69130,27983,30428,51045,38344
"Del Norte County, California",9799,879,829,1290,1115,1003,2012,1140,934,281,316,45258,61652,22832,27538,45356,40332
"Glenn County, California",10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,21736,26015,39370,30973
"Butte County, California",86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,27537,25636,50252,40722
"Plumas County, California",8047,402,610,861,720,1189,1498,1057,1048,397,265,53270,71648,32710,27263,56033,40080
"San Luis Obispo County, California",105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,35832,30995,60306,45221
"Kern County, California",267913,17667,15647,30030,28629,36738,47612,30489,35313,14736,11052,52479,71440,22553,27606,45106,35973
"Orange County, California",1032373,43771,30304,62835,66044,96088,157083,132431,189165,107421,147231,85398,117194,39590,38133,60553,50816
"Calaveras County, California",17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,32494,33050,60251,42342
"Sutter County, California",32360,1593,1561,3284,3286,4552,6202,3959,4862,1721,1340,56955,75716,26070,28408,47280,37229
"San Mateo County, California",261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,57375,51601,79347,65524
"Tuolumne County, California",22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,33685,30387,54816,44713
"San Joaquin County, California",226727,11947,11352,21842,20742,28173,40017,28778,35403,15258,13215,61145,81297,26145,31886,50117,41465
"Amador County, California",14090,593,550,1479,1576,1713,2760,1948,2155,591,725,61198,78014,30100,32346,51994,43642
"Merced County, California",79606,5230,5097,8627,8577,12196,14954,9425,8924,3506,3070,50129,69764,21634,26263,40992,35528
"Modoc County, California",3660,288,166,502,574,481,734,424,382,81,28,45149,54126,23235,26929,40600,28846
"Inyo County, California",8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,31540,32591,59444,41925
"Stanislaus County, California",172682,8860,8979,16576,17386,23456,32240,22512,25877,9042,7754,57387,75761,25101,30920,49623,40569
"Tehama County, California",24025,1658,1774,3749,2885,3363,4385,2530,2258,776,647,42899,58939,23126,26302,41083,32444
"San Benito County, California",17740,295,594,938,1125,1939,3198,2420,3849,1766,1616,81977,101057,31475,32949,54753,42542
"El Dorado County, California",69172,2593,2436,5100,4889,6834,10639,8942,12881,6287,8571,80582,104895,40382,39408,72312,53876
"San Francisco County, California",359673,18633,18570,22449,18507,23903,37920,33637,58516,40785,86753,104552,149265,64157,57987,86240,73885
"Tulare County, California",136106,9449,9406,17255,15152,19769,24041,15118,15304,5448,5164,47518,66651,20421,25539,40208,35317
"Nevada County, California",40904,2085,1934,3463,3675,5387,6765,5233,6652,2738,2972,63240,86798,37145,33126,57622,51085
"Madera County, California",44759,2850,2516,4282,4498,7099,8371,5195,6527,1832,1589,52884,69614,21394,24755,42195,35456
"Trinity County, California",5796,577,504,867,769,803,955,556,493,164,108,38497,54856,25964,23160,50189,33409
"San Bernardino County, California",630633,34198,31835,59404,58750,79401,117004,83245,95961,40547,30288,60164,77575,23956,30537,46547,39737
"Placer County, California",140661,5616,4796,8765,9627,12591,21851,18041,27747,15169,16458,84357,109020,41508,44752,74254,58099
"Solano County, California",149067,6100,5323,9438,10274,15969,25215,21756,28449,14073,12470,77609,96029,33700,38555,60730,49969
"Colusa County, California",7113,252,363,890,735,984,1346,1073,781,398,291,56704,82313,27336,28150,41323,32389
"Kings County, California",42735,2329,2404,4089,4685,6570,7666,5962,5610,1943,1477,53865,69985,21186,28933,41785,35959
"Fresno County, California",304624,21380,19989,35375,33605,38742,53091,35192,38001,15704,13545,51261,71663,23284,26682,43618,39089
"Ventura County, California",271226,8653,7711,16744,17921,26844,42811,38297,51509,27073,33663,84017,110792,36891,35347,57726,49285
"Okaloosa County, Florida",77403,3679,2693,6925,7530,10070,15239,10981,12735,4071,3480,62048,79157,31901,31230,47516,36408
"Taylor County, Florida",7356,562,483,1237,1273,1119,1347,617,589,45,84,36934,49042,16919,25926,39496,30796
"Washington County, Florida",8484,856,695,1104,1300,1249,1622,822,540,202,94,37188,50278,18112,26007,37530,31191
"Duval County, Florida",354387,25497,16407,33946,36980,52510,66330,45800,45203,15313,16401,53473,74331,30012,31973,45788,39181
"Bradford County, Florida",8993,1069,617,991,836,1195,1925,1049,945,271,95,46197,57048,20481,30678,42369,33407
"Brevard County, Florida",228888,12747,11298,23662,23929,32989,44671,28041,30189,10953,10409,54359,73762,30987,31150,50501,39170
"Clay County, Florida",73398,3653,1965,6162,6807,9541,15541,10881,11510,4600,2738,62653,78932,29138,33567,49708,40114
"Lafayette County, Florida",2095,245,207,253,264,212,233,305,263,54,59,39543,58488,19870,31325,40194,41627
"Lake County, Florida",130190,7066,6322,14467,15381,19746,25344,17767,15076,5304,3717,51884,66691,27052,29174,42269,36386
"Nassau County, Florida",31241,1552,1118,2056,3152,3720,5964,4252,5318,2192,1917,66297,88805,35335,34087,54355,40248
"Pinellas County, Florida",407720,27780,20093,46204,46101,58712,71041,48207,50265,19664,19653,51454,74155,33478,32172,45961,40526
"Polk County, Florida",231260,15597,11725,26363,26792,38573,45606,27573,24894,7562,6575,48500,63849,23812,29354,40890,34435
"St. Lucie County, Florida",112872,7427,5888,12853,13225,17737,22450,14516,11497,3674,3605,49373,65145,25736,27842,40291,33814
"Glades County, Florida",4433,279,422,504,696,795,852,298,410,96,81,39879,53454,21020,25960,41576,26925
"Hendry County, Florida",12027,1123,721,1939,1435,1994,1848,1509,969,240,249,40728,56431,18900,22634,33562,27355
"Indian River County, Florida",57403,2988,2751,6583,6729,8208,10695,6709,6579,2486,3675,52336,84405,35172,27360,40580,33514
"Jackson County, Florida",16894,1703,1399,2294,2326,2457,3158,1754,1245,345,213,39002,51417,18882,26414,36774,30636
"Palm Beach County, Florida",548216,32617,21769,53030,53168,71182,95186,63252,75660,34529,47823,59943,94302,37998,31494,47778,40886
"St. Johns County, Florida",86268,3619,2233,5071,6486,9885,14606,10926,15137,8435,9870,77323,107878,41393,38553,64842,47001
"Seminole County, Florida",167304,9552,5536,13860,15080,21029,31087,22471,25434,11430,11825,63760,86617,33419,35685,52552,42227
"Miami-Dade County, Florida",870051,82208,51145,101199,91492,116434,145327,92119,98564,40549,51014,48982,75744,26838,28215,38247,32874
"Bay County, Florida",70199,4814,3858,6931,7327,10980,13186,9075,8859,2876,2293,51829,69260,28017,29838,43702,34967
"Flagler County, Florida",40629,2204,1539,4170,4380,6207,8846,5704,4924,1472,1183,53872,68685,27689,27608,42014,33855
"Franklin County, Florida",4297,378,324,469,548,648,647,482,547,99,155,42855,66555,25037,27345,38306,36964
"Hamilton County, Florida",4485,640,422,630,562,518,895,351,339,29,99,34583,48405,15097,23292,40309,28155
"Liberty County, Florida",2381,230,102,287,459,427,318,199,271,74,14,37363,52360,17197,30463,37841,39911
"Sumter County, Florida",54636,2701,2561,4638,5950,8458,11617,8162,6485,2482,1582,55228,71108,33629,23138,38671,34711
"Gadsden County, Florida",17080,1980,840,2098,2277,2982,3152,1605,1522,411,213,40922,52613,20158,29260,37202,33793
"Holmes County, Florida",7016,691,746,997,828,1059,1198,804,534,63,96,38608,49636,18574,25929,36971,33455
"Lee County, Florida",271861,16873,11478,26419,29204,39161,54029,33559,34368,12656,14114,54691,77846,31924,29144,41346,36930
"Marion County, Florida",136514,9757,7462,18053,18832,22663,27026,14045,11997,3375,3304,43361,58779,24570,26591,37956,33256
"Collier County, Florida",140942,5842,4319,11331,12886,18074,26143,17628,19900,9424,15395,65675,106539,43256,29532,42175,38407
"Orange County, Florida",458613,31309,19572,45084,48923,65913,87057,53072,57164,23905,26614,54335,78465,28859,30214,42516,36397
"Pasco County, Florida",199227,11882,10887,22874,22436,30877,36934,24214,23695,8523,6905,50417,68215,27786,32192,47266,40007
"Highlands County, Florida",41026,3214,2579,6672,6434,6937,7808,3305,2410,849,818,37314,55174,23722,21349,35994,30834
"Suwannee County, Florida",15083,1424,1096,1828,1900,2543,2845,1778,1068,261,340,42686,57639,21755,25689,36708,29180
"DeSoto County, Florida",11996,1010,755,2483,1740,1850,2131,1004,634,231,158,35057,48458,18311,22274,28839,29763
"Calhoun County, Florida",4556,372,374,700,604,753,692,545,398,75,43,38609,53151,18921,29432,34667,33217
"Columbia County, Florida",24985,2092,1602,3017,2944,3938,4735,2685,2570,800,602,44491,62378,23901,29054,40989,35294
"Dixie County, Florida",6520,634,594,937,800,1428,1029,346,447,179,126,38237,51366,20527,28317,40159,35970
"Putnam County, Florida",28264,3053,2631,4426,3799,4540,4651,2283,1860,684,337,35649,48542,19976,23876,37277,29496
"Union County, Florida",3892,409,231,396,584,586,796,547,221,82,40,41770,58432,15475,24574,36137,33415
"Manatee County, Florida",143652,7649,6388,14180,15706,20629,26598,16986,20901,7469,7146,56036,78296,32070,30595,43650,37883
"Levy County, Florida",16433,1285,1497,2965,1929,2600,3143,1525,985,289,215,37634,50782,22025,26090,36592,35144
"Baker County, Florida",8625,638,233,938,827,1154,1802,1128,1220,368,317,61769,73897,24070,31739,44644,35984
"Volusia County, Florida",212985,15878,10708,25922,26972,33545,39505,24178,22922,7000,6355,46760,64048,27272,28820,40975,35359
"Leon County, Florida",112918,10681,5308,11089,11879,16308,18001,13699,14204,5942,5807,51201,73745,29754,27396,47595,39635
"Madison County, Florida",6682,893,688,1063,642,1054,1006,591,450,179,116,35509,50429,19223,25314,37344,29389
"Escambia County, Florida",118740,6987,5131,12470,15024,20551,23962,14051,13003,3771,3790,49286,65836,26730,29192,42764,34050
"Hernando County, Florida",73541,4908,3794,8889,9600,12596,14871,8458,7116,1938,1371,46030,59196,24551,28849,41360,35617
"Hillsborough County, Florida",516478,35090,23693,50492,50225,71260,92616,62903,68951,28785,32463,56137,79843,31173,32687,48321,40541
"Wakulla County, Florida",11068,638,279,1036,1023,1558,2089,2152,1641,434,218,62778,69775,24322,34956,47547,39345
"Gulf County, Florida",5359,269,397,715,727,896,819,721,593,158,64,44291,57476,21255,26065,37162,35538
"Osceola County, Florida",99158,6458,3997,11219,11264,16585,19733,12350,12237,2890,2425,50063,64322,21331,25412,34718,31286
"Walton County, Florida",26432,1652,1374,2748,2597,3941,4624,2690,3729,1300,1777,53785,81950,33731,29674,41394,36304
"Jefferson County, Florida",5771,516,283,712,808,633,1230,555,713,213,108,48173,61993,23448,30234,43971,34897
"Hardee County, Florida",7772,770,503,1281,1140,1112,1316,629,653,232,136,37594,54735,18257,24560,31787,27364
"Okeechobee County, Florida",13759,1130,857,1967,1854,2628,2343,1410,1142,235,193,40367,54057,19943,26530,37696,31165
"Gilchrist County, Florida",6511,490,343,841,945,1104,1076,954,496,147,115,42357,56315,21379,25780,37574,32596
"Alachua County, Florida",97048,12123,4828,10941,9260,12098,16862,10386,10921,4618,5011,49078,70309,27896,26459,46014,39606
"Charlotte County, Florida",76150,3989,3824,9381,8860,12694,15455,8896,7877,2550,2624,49225,66950,30528,26049,40153,36244
"Martin County, Florida",63865,3380,2425,7002,5956,8682,11698,7391,8357,3557,5417,57959,93768,40389,31432,48007,41819
"Sarasota County, Florida",180551,8610,7197,16744,18285,25507,34840,22248,24344,9853,12923,58644,85906,39364,31102,47616,39055
"Citrus County, Florida",62762,4969,3906,9128,8583,11098,11683,5599,5142,1414,1240,41424,56165,25983,26108,38757,32799
"Santa Rosa County, Florida",61345,2746,2009,4625,4715,8070,12395,9383,10419,3957,3026,66242,83602,30904,34158,53413,37135
"Broward County, Florida",682088,44143,29764,66587,67609,91913,122637,82582,93240,38323,45290,57333,82204,31464,31777,46308,40321
"Monroe County, Florida",30982,1656,1275,1937,2948,3861,5324,4608,4488,2002,2883,67023,99583,43477,33945,43108,39879
"Jersey County, Illinois",8665,511,331,757,924,1341,1408,1200,1425,532,236,56747,71313,28924,31958,53594,38125
"Putnam County, Illinois",2395,95,54,206,234,328,458,441,381,76,122,65034,79048,34144,35946,53969,37857
"De Witt County, Illinois",6663,274,301,593,710,1082,1424,851,900,339,189,55591,69216,29402,31511,51757,38473
"Fayette County, Illinois",7616,479,532,962,1067,1231,1169,971,869,207,129,44432,59615,22260,27363,43229,32381
"Lee County, Illinois",13699,758,636,1262,1636,1746,2636,2087,1652,798,488,57901,72909,29249,32211,51845,37368
"Logan County, Illinois",10872,486,451,907,1142,1572,2439,1520,1524,505,326,57899,72129,27187,31418,50299,37114
"Macoupin County, Illinois",18772,1095,883,2081,2060,2732,3272,2629,2700,764,556,53778,67689,28050,32471,50655,38635
"Richland County, Illinois",6482,543,413,660,741,959,1200,845,733,190,198,48724,62163,26038,30277,47519,33994
"Saline County, Illinois",10002,1019,1070,1334,961,1371,1686,1021,1075,261,204,41167,56381,23690,27179,48657,31450
"Washington County, Illinois",5975,242,193,559,600,879,1190,967,861,282,202,59469,75730,32394,36716,50580,36017
"Montgomery County, Illinois",11339,778,637,1495,1084,1640,2200,1593,1287,395,230,50304,62938,24816,28958,49012,34735
"Whiteside County, Illinois",23346,1042,941,2649,2640,3652,4723,3282,2693,931,793,53828,69695,29167,30004,49251,33038
"Adams County, Illinois",27300,1658,1225,3037,3181,4166,5540,3229,3365,964,935,51398,69598,29347,32246,44361,36086
"Clinton County, Illinois",14190,651,586,1140,1204,1750,2958,1913,2538,954,496,65010,80242,31240,35106,53221,39903
"DeKalb County, Illinois",37703,2920,1613,3383,3241,4477,7328,4874,6219,2180,1468,61086,75000,28073,26263,53167,39633
"Edwards County, Illinois",2776,139,138,354,305,461,542,366,362,53,56,49766,63054,26908,31033,47367,36639
"Jasper County, Illinois",3656,316,235,334,308,438,851,463,513,127,71,54951,63677,25536,30092,42887,35917
"Jefferson County, Illinois",15223,1298,740,1966,1608,2255,2875,1637,1852,577,415,47617,64402,25770,29854,48909,34147
"Will County, Illinois",227848,7387,4798,13631,15322,22326,39146,31996,47952,24151,21139,83504,102746,35259,40416,66607,47342
"Williamson County, Illinois",27089,1908,1694,3201,2993,3953,5021,3263,3488,895,673,49053,64486,26756,31092,51049,36683
"Douglas County, Illinois",7618,346,426,827,735,1124,1597,957,1055,356,195,54218,70199,27871,31362,45143,32513
"Fulton County, Illinois",14090,1042,767,1783,1450,1976,3063,1792,1500,417,300,50180,62429,25538,27975,47362,32055
"Greene County, Illinois",5005,369,346,578,633,788,979,588,545,102,77,46052,58630,23946,27858,43873,33333
"Hardin County, Illinois",1438,131,112,187,185,182,277,153,161,30,20,43081,63443,25795,26049,52260,27500
"Henry County, Illinois",20023,1176,1000,2108,2136,2499,3707,2750,3178,886,583,57250,69866,29014,32872,53794,36576
"Knox County, Illinois",20830,1563,1652,2650,2376,3361,3830,2405,2058,551,384,43709,58735,24681,27326,43165,31979
"Lake County, Illinois",244672,9827,6141,15277,15901,23559,37750,29869,43197,24368,38783,86244,123830,44287,38958,64865,50445
"Massac County, Illinois",6011,422,494,842,752,781,1113,832,549,119,107,42604,56495,23768,29196,45944,32330
"Scott County, Illinois",1959,103,112,207,200,301,425,247,239,77,48,53973,67886,27218,32233,49408,38824
"Cass County, Illinois",5024,220,252,591,642,684,1084,697,627,106,121,51997,65081,26245,29668,42963,32048
"LaSalle County, Illinois",44644,2526,2161,4607,4688,6161,8760,5741,6648,2008,1344,56243,70670,29093,31125,54035,35253
"Hancock County, Illinois",7420,415,360,885,795,1110,1574,1144,738,200,199,51549,63252,26880,32530,46788,34923
